Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2240	-7379.941	-7340.636	-39.30509	434735.3	16.60181	0.998073	0.999507	1.00049	1.00193	9.131541
2250	-7374.894	-7341.117	-33.77715	303242.8	19.03873	0.997693	0.999409	1.00059	1.00231	8.804995
2260	-7370.501	-7341.009	-29.49195	783348.2	21.44195	0.998564	0.999633	1.00037	1.00144	8.488444
2270	-7356.466	-7329.972	-26.49448	222395.3	18.2617	0.997306	0.99931	1.00069	1.0027	8.421992
2280	-7372.253	-7341.177	-31.0759	521462.2	19.22624	0.99824	0.99955	1.00045	1.00176	8.658744
2290	-7366.85	-7338.993	-27.85656	405895.1	22.63272	0.998006	0.99949	1.00051	1.002	8.343534
2300	-7362.853	-7335.57	-27.28318	882271.6	17.91309	0.998647	0.999654	1.00035	1.00135	8.460582
2310	-7317.042	-7284.14	-32.90133	11.77717	19.60664	0.657687	0.882786	1.06896	1.39057	8.740855
2320	-7268.333	-7228.975	-39.35847	2.46836	16.59414	0.343436	0.697076	1.07826	1.88123	9.134588
2330	-7281.619	-7232.893	-48.72651	2.735812	18.20509	0.367732	0.715765	1.08086	1.83564	9.642545
2340	-7286.212	-7228.648	-57.56401	2.278204	15.812	0.324366	0.681673	1.07561	1.91835	10.2561
2350	-7285.763	-7220.083	-65.68029	2.11408	14.44319	0.306523	0.666621	1.0726	1.95426	10.79966
2360	-7298.426	-7229.306	-69.11923	1.825285	12.83365	0.271488	0.635048	1.06493	2.02853	10.96491
2370	-7316.783	-7241.047	-75.73575	1.844298	13.8363	0.273952	0.637365	1.06556	2.02313	11.50937
2380	-7311.536	-7236.945	-74.59116	1.844298	13.79194	0.273952	0.637365	1.06556	2.02313	11.42655
2390	-7295.055	-7230.913	-64.14187	2.07246	13.04634	0.301774	0.662504	1.0717	1.96402	10.60422
2400	-7290.424	-7227.574	-62.84963	2.07246	15.29261	0.301774	0.662504	1.0717	1.96402	10.60523
2410	-7305.675	-7228.71	-76.9649	1.945891	13.36704	0.286729	0.649134	1.06857	1.99556	11.59681
2420	-7289.436	-7224.9	-64.53621	2.028745	15.41969	0.296682	0.658036	1.07069	1.97459	10.71196
